Question,Answer,Question Type,Expert time (mins),Rubric
"What are the main differences between NSE and BSE for a retail investor in India?","NSE is usually the default venue for liquidity and tighter spreads in heavily traded Indian equities, while BSE remains important as the older exchange and for alternate listings and some market-data references. For most retail cash-market investing, the practical difference is usually liquidity and volume rather than company fundamentals, because the underlying listed company is the same.","Market Structure,8","[{'operator': 'correctness', 'criteria': 'NSE usually has stronger liquidity in heavily traded Indian equities'}, {'operator': 'correctness', 'criteria': 'BSE remains an important Indian exchange'}, {'operator': 'correctness', 'criteria': 'For most retail investors the main practical difference is liquidity/volume rather than fundamentals'}, {'operator': 'contradiction', 'criteria': 'NSE is usually the default venue for liquidity and tighter spreads in heavily traded Indian equities, while BSE remains important as the older exchange and for alternate listings and some market-data references. For most retail cash-market investing, the practical difference is usually liquidity and volume rather than company fundamentals, because the underlying listed company is the same.'}]"
"What does a shareholding pattern tell you about an Indian listed company?","A shareholding pattern shows how ownership is split across promoter and promoter group, public shareholders, institutions, and other categories. In Indian market analysis it is especially useful for tracking promoter holding, changes in institutional ownership, and any signs of concentration or dilution.","Conceptual,5","[{'operator': 'correctness', 'criteria': 'A shareholding pattern shows how ownership is split across major shareholder categories'}, {'operator': 'correctness', 'criteria': 'It is useful for tracking promoter holding'}, {'operator': 'correctness', 'criteria': 'It is useful for tracking institutional ownership changes'}, {'operator': 'contradiction', 'criteria': 'A shareholding pattern shows how ownership is split across promoter and promoter group, public shareholders, institutions, and other categories. In Indian market analysis it is especially useful for tracking promoter holding, changes in institutional ownership, and any signs of concentration or dilution.'}]"
"If RELIANCE.NSE rises 12% over six months while its revenue grows only 3%, what are two reasonable explanations to investigate first?","Two reasonable explanations are valuation re-rating and forward expectations. In practice you would first investigate whether the market is pricing in stronger future earnings or cash-flow growth, and whether there were catalysts such as capex visibility, regulatory changes, deleveraging, or business-segment optimism that moved the multiple higher than current reported revenue growth alone would suggest.","Market Analysis,10","[{'operator': 'correctness', 'criteria': 'Valuation re-rating is a reasonable explanation'}, {'operator': 'correctness', 'criteria': 'Forward expectations are a reasonable explanation'}, {'operator': 'correctness', 'criteria': 'Catalysts such as regulation, capex, deleveraging, or segment optimism may explain the move'}, {'operator': 'contradiction', 'criteria': 'Two reasonable explanations are valuation re-rating and forward expectations. In practice you would first investigate whether the market is pricing in stronger future earnings or cash-flow growth, and whether there were catalysts such as capex visibility, regulatory changes, deleveraging, or business-segment optimism that moved the multiple higher than current reported revenue growth alone would suggest.'}]"
"What are the most important documents to review for an Indian company before earnings?","Before earnings, the most important Indian company documents are the latest quarterly financial results, the most recent annual report, recent corporate announcements, the latest shareholding pattern, investor presentations, and any board-meeting notices or outcomes related to results. Together these usually give the clearest view of business performance, management commentary, ownership changes, and upcoming catalysts.","Research Workflow,8","[{'operator': 'correctness', 'criteria': 'Quarterly financial results are important'}, {'operator': 'correctness', 'criteria': 'Annual report is important'}, {'operator': 'correctness', 'criteria': 'Corporate announcements and shareholding pattern are important'}, {'operator': 'correctness', 'criteria': 'Investor presentations and board-meeting notices/outcomes are useful'}, {'operator': 'contradiction', 'criteria': 'Before earnings, the most important Indian company documents are the latest quarterly financial results, the most recent annual report, recent corporate announcements, the latest shareholding pattern, investor presentations, and any board-meeting notices or outcomes related to results. Together these usually give the clearest view of business performance, management commentary, ownership changes, and upcoming catalysts.'}]"
"Why might promoter selling matter more than a normal market-volume spike in Indian equities?","Promoter selling can matter more because it may change how investors interpret insider conviction, ownership alignment, or funding needs at the controlling-shareholder level. A plain volume spike may be noise, but promoter transactions often attract closer attention because they can alter sentiment about governance, confidence, or capital allocation.","Conceptual,6","[{'operator': 'correctness', 'criteria': 'Promoter selling can affect perceived insider conviction or ownership alignment'}, {'operator': 'correctness', 'criteria': 'A normal volume spike may be noise'}, {'operator': 'correctness', 'criteria': 'Promoter transactions can change sentiment about governance or confidence'}, {'operator': 'contradiction', 'criteria': 'Promoter selling can matter more because it may change how investors interpret insider conviction, ownership alignment, or funding needs at the controlling-shareholder level. A plain volume spike may be noise, but promoter transactions often attract closer attention because they can alter sentiment about governance, confidence, or capital allocation.'}]"
"What does it usually mean if a company reports strong revenue growth but weak operating cash flow?","It usually means reported growth is not fully converting into cash yet. In analysis you would investigate working-capital build, receivables, inventory, one-off timing effects, margin pressure, or aggressive revenue recognition risk before concluding that the growth is high quality.","Accounting Quality,7","[{'operator': 'correctness', 'criteria': 'Reported growth may not be converting into cash'}, {'operator': 'correctness', 'criteria': 'Working capital, receivables, or inventory should be investigated'}, {'operator': 'correctness', 'criteria': 'Revenue quality or timing effects may be involved'}, {'operator': 'contradiction', 'criteria': 'It usually means reported growth is not fully converting into cash yet. In analysis you would investigate working-capital build, receivables, inventory, one-off timing effects, margin pressure, or aggressive revenue recognition risk before concluding that the growth is high quality.'}]"
"What are the main benchmark indices a beginner should recognize in the Indian market?","A beginner should recognize NIFTY 50, SENSEX, and NIFTY BANK first. These are among the most common benchmarks used to discuss broad Indian market direction, large-cap sentiment, and banking-sector performance.","Conceptual,3","[{'operator': 'correctness', 'criteria': 'NIFTY 50 is a key benchmark'}, {'operator': 'correctness', 'criteria': 'SENSEX is a key benchmark'}, {'operator': 'correctness', 'criteria': 'NIFTY BANK is a key benchmark'}, {'operator': 'contradiction', 'criteria': 'A beginner should recognize NIFTY 50, SENSEX, and NIFTY BANK first. These are among the most common benchmarks used to discuss broad Indian market direction, large-cap sentiment, and banking-sector performance.'}]"
"How should you interpret an investor presentation compared with audited financial statements?","An investor presentation is useful for management framing, segment highlights, strategy, and KPI communication, but audited financial statements remain the more authoritative source for formal numbers and accounting detail. Good research uses both, while treating presentations as management narrative rather than a substitute for the financial statements.","Research Workflow,5","[{'operator': 'correctness', 'criteria': 'Investor presentations are useful for management framing and KPI communication'}, {'operator': 'correctness', 'criteria': 'Audited financial statements are more authoritative for formal numbers and accounting detail'}, {'operator': 'correctness', 'criteria': 'Both should be used together'}, {'operator': 'contradiction', 'criteria': 'An investor presentation is useful for management framing, segment highlights, strategy, and KPI communication, but audited financial statements remain the more authoritative source for formal numbers and accounting detail. Good research uses both, while treating presentations as management narrative rather than a substitute for the financial statements.'}]"
"If an Indian company reports stable profit but falling promoter holding over several quarters, what follow-up areas should you check?","You should check whether the reduction came from pledged shares being released or sold, secondary transactions, regulatory or financing needs, and whether institutional/public ownership absorbed the stake cleanly. You should also review corporate announcements, shareholding patterns, and any related disclosures for governance or capital-allocation implications.","Risk Review,8","[{'operator': 'correctness', 'criteria': 'Review shareholding patterns and related disclosures'}, {'operator': 'correctness', 'criteria': 'Check whether the reduction is due to pledges, secondary sales, or financing needs'}, {'operator': 'correctness', 'criteria': 'Check ownership absorption and governance implications'}, {'operator': 'contradiction', 'criteria': 'You should check whether the reduction came from pledged shares being released or sold, secondary transactions, regulatory or financing needs, and whether institutional/public ownership absorbed the stake cleanly. You should also review corporate announcements, shareholding patterns, and any related disclosures for governance or capital-allocation implications.'}]"
"Why is MCX important in an India-market research workflow?","MCX matters because it is the main exchange for many Indian commodity-market discussions, especially when research touches bullion, energy, and commodity-linked sentiment. Even if the primary research target is an equity, MCX can matter when commodity price moves affect input costs, sector margins, or inflation-sensitive themes.","Market Structure,6","[{'operator': 'correctness', 'criteria': 'MCX is important for Indian commodity-market analysis'}, {'operator': 'correctness', 'criteria': 'It is relevant for bullion, energy, and commodity-linked sentiment'}, {'operator': 'correctness', 'criteria': 'Commodity moves can affect equity margins or input costs'}, {'operator': 'contradiction', 'criteria': 'MCX matters because it is the main exchange for many Indian commodity-market discussions, especially when research touches bullion, energy, and commodity-linked sentiment. Even if the primary research target is an equity, MCX can matter when commodity price moves affect input costs, sector margins, or inflation-sensitive themes.'}]"
